"Adelphi University	",n
"Agnes Scott College	",n
"Albion College	",n
"Albright College	",n
"Allegheny College	",n
"Alma College	",n
"American University	",n
"Amherst College	",y
"Andrews University	",n
"Antioch College	",n
"Arizona State University--Tempe	",n
"Ashland University	",n
"Auburn University	",n
"Augustana College	",n
"Austin College	",n
"Azusa Pacific University	",n
"Ball State University	",n
"Bard College	",n
"Barnard College	",n
"Bates College	",y
"Baylor University	",n
"Beloit College	",n
"Benedictine University	",n
"Bennington College	",n
"Bethany College	",n
"Binghamton University--SUNY	",n
"Biola University	",n
"Birmingham-Southern College	",n
"Boston College	",n
"Boston University	",n
"Bowdoin College	",y
"Bowling Green State University	",n
"Brandeis University	",n
"Brigham Young University--Provo	",n
"Brown University	",y
"Bryn Mawr College	",n
"Bucknell University	",n
"California Institute of Technology	",y
"California State University--Fresno	",n
"California State University--Fullerton	",n
"Carleton College	",n
"Carnegie Mellon University	",y
"Case Western Reserve University	",n
"Central Michigan University	",n
"Centre College	",n
"Chatham College	",n
"Christendom College	",n
"Claremont McKenna College	",y
"Clark University	",n
"Clarkson University	",n
"Clemson University	",n
"Coe College	",n
"Colby College	",y
"Colgate University	",n
"College of Saint Benedict	",n
"College of the Atlantic	",n
"College of the Holy Cross	",n
"College of William & Mary	",n
"College of Wooster, The	",n
"Colorado College	",n
"Colorado School of Mines	",n
"Colorado State University	",n
"Columbia University	",y
"Concordia College-Moorhead	",n
"Connecticut College	",n
"Cornell University	",y
"Dallas Baptist University	",n
"Dartmouth College	",y
"Davidson College	",y
"Denison University	",n
"DePaul University	",n
"DePauw University	",n
"Dickinson College	",n
"Drew University	",n
"Drexel University	",n
"Duke University	",y
"Duquesne University	",n
"Earlham College	",n
"East Carolina University	",n
"Eckerd College	",n
"Edgewood College	",n
"Emory University	",n
"Erskine College	",n
"Florida Institute of Technology	",n
"Florida State University	",n
"Fordham University	",n
"Franklin & Marshall College	",n
"Furman University	",n
"Gardner-Webb University	",n
"George Mason University	",n
"George Washington University	",n
"Georgetown College	",n
"Georgetown University	",y
"Georgia Institute of Technology	",n
"Gettysburg College	",n
"Gordon College	",n
"Goshen College	",n
"Goucher College	",n
"Grinnell College	",n
"Guilford College	",n
"Gustavus Adolphus College	",n
"Hamilton College	",n
"Hampden-Sydney College	",n
"Hampshire College	",n
"Hanover College	",n
"Hartwick College	",n
"Harvard University	",y
"Hastings College	",n
"Haverford College	",n
"Hendrix College	",n
"Hiram College	",n
"Hobart and William Smith Colleges	",n
"Hofstra University	",n
"Hollins University	",n
"Hope College	",n
"Houghton College	",n
"Howard University	",n
"Huntingdon College	",n
"Illinois Institute of Technology	",n
"Illinois State University	",n
"Illinois Wesleyan University	",n
"Immaculata University	",n
"Indiana University--Bloomington	",n
"Indiana University-Purdue University--Indianapolis	",n
"Iowa State University	",n
"Johns Hopkins University	",y
"Judson College	",n
"Juniata College	",n
"Kalamazoo College	",n
"Kansas State University	",n
"Kent State University	",n
"Kenyon College	",n
"Knox College	",n
"Lafayette College	",n
"Lake Forest College	",n
"Lawrence University	",n
"Lehigh University	",n
"Lesley University	",n
"Lewis and Clark College	",n
"Lipscomb University	",n
"Louisiana State University--Baton Rouge	",n
"Louisiana Tech University	",n
"Loyola University Chicago	",n
"Luther College	",n
"Macalester College	",n
"Marlboro College	",n
"Marquette University	",n
"Maryville University of St. Louis	",n
"Massachusetts Institute of Technology	",y
"Mercer University	",n
"Miami University--Oxford	",n
"Michigan State University	",n
"Michigan Technological University	",n
"Middlebury College	",y
"Mills College	",n
"Millsaps College	",n
"Mississippi State University	",n
"Missouri University of Science & Technology	",n
"Monmouth College	",n
"Montana State University	",n
"Montclair State University	",n
"Moravian College	",n
"Morehouse College	",n
"Mount Holyoke College	",n
"Muhlenberg College	",n
"Nebraska Wesleyan University	",n
