abbrev,name,type,description,website
abn,ABN AMRO,in,"Global M&A Advisory (Netherlands, Europe, Asia focused)",http://www.abnamro.com/en/index.html
alc,Allen & Company,eb,Global M&A Advisory – Boutique (Media and Entertainment focused),N/A
arm,Arma Partners,bo,Global M&A Advisory (Europe and North America focused) – Boutique,http://www.armapartners.com/arma2/www/index.asp?magpage=0
bam,Bank of America Merrill Lynch,bb,Global Investment Bank,http://corp.bankofamerica.com/
bar,Barclays Capital,bb,Global Investment Bank,http://group.barclays.com/Home
bbt,BB&T,mm,Regional Investment Bank – Boutique,http://www.bbt.com/bbt/default.html
bby,BBY Ltd.,in,Australian Investment Bank,http://www.bby.com.au/corporate-finance/services/
bnc,"Berkery, Noyes & Co.",bo,"U.S. Investment Bank - Boutique (Healthcare, Financial Services, Education, and Entertainment focused)",http://www.berkerynoyes.com/Default.aspx
bgc,BG Capital,bo,Regional M&A Advisory – Boutique,http://www.bgcapitalgroup.com/index.asp
bls,Blackstone,eb,Global M&A Advisory,http://www.blackstone.com/cps/rde/xchg/bxcom/hs/businesses_financialadvisory.htm
bmo,BMO Capital Markets,mm,North American Investment Bank – Boutique,http://www.bmocm.com/default.aspx
bnp,BNP Paribas,mm,Global Investment Bank,http://www.bnpparibas.com/en
bbh,Brown Brothers Harriman,mm,Regional M&A Advisory - Boutique,http://www.bbh.com/wps/portal/expertise/mergersacquisitionsadvisory
cwd,C.W. Downer,bo,Global M&A Advisory – Boutique,http://www.cwdowner.com/
cbr,Cain Brothers,bo,U.S. Healthcare M&A Advisory – Boutique,http://www.cainbrothers.com/index.cfm
cfz,Cantor Fitzgerald,mm,Global Investment Bank – Boutique,http://www.cantor.com/
cpp,Capstone Partners,bo,U.S. M&A Advisory – Boutique,http://www.capstonellc.com/
cvp,Centerview Partners,eb,Global M&A Advisory,http://www.centerviewpartners.com/
cic,China International Capital Corporation,in,China Investment Bank,http://www.cicc.com.cn/cicc/english/operation/index.htm
cwm,CIBC World Markets,bo,North American Investment Bank – Boutique,http://www.cibcwm.com/wm/index.html
cit,Citi,bb,Global Investment Bank,http://icg.citi.com/icg/global_banking/index.jsp
csi,CITIC Securities International,in,China Investment Bank,http://www.citics.com.hk/InvestmentOverview.aspx
cls,CLSA,in,Asia Investment Bank,https://www.clsa.com/index.php
cmz,Commerzbank,bo,Global Investment Bank - Boutique,https://cbcm.commerzbank.com/en/site/home/index.jsp
cfa,Corporate Finance Associates,bo,Global Investment Bank – Boutique,http://www.cfaw.com/index.html
cwn,Cowen,mm,Global M&A Advisory – Boutique,http://www.cowen.com/default.html
cac,Credit Agricole CIB,in,Global Investment Bank,http://www.ca-cib.com/
css,Credit Suisse,bb,Global Investment Bank,https://www.credit-suisse.com/us/en/
csg,CSG Partners,bo,U.S. M&A Advisory – Boutique,http://www.csgpartners.com/
dws,Daewoo Securities,in,Korea M&A Advisory,N/A
dtb,Deutsche Bank,bb,Global Investment Bank,http://www.db.com/index_e.htm
