ID,COMPONENT CODE,TRUCK CODE,LABOR OPERATION DESCRIPTION,ERT
1,1,LLV,"CABLE, DEFROST - REPLACE",0.30
2,1,LLV,"CABLE, HEATER RECIRCULATION - REPLACE/ADJUST",0.60
3,1,LLV,"CABLE, TEMP CONTROL - REPLACE/ADJUST",0.50
4,1,LLV,"CAP, HEATER PLENUM - REPLACE",1.10
5,1,LLV,"CORE, HEATER - REPLACE",1.10
6,1,LLV,"DUCT, OUTSIDE / FRESH AIR - REPLACE",0.20
7,1,LLV,HEATER CONTROL KNOB- REPLACE,0.20
8,1,LLV,"HOSE, HEATER - REPLACE EACH",0.30
9,1,LLV,"KNOB, HEATER CONTROL - REPLACE",0.20
10,1,LLV,"MOTOR, HEATER BLOWER - REPLACE",0.70
11,1,LLV,"PANEL, HEATER CONTROL - REPLACE",0.30
12,1,LLV,"PLENUM, FRESH AIR INTAKE - REPLACE",1.60
13,1,LLV,"PLENUM, HEATER - REPLACE",1.00
14,1,LLV,"RESISTOR, HEATER MOTOR - REPLACE",0.30
15,1,LLV,"SWITCH, HEATER / BLOWER MOTOR - REPLACE",0.30
16,1,LLV,"VALVE, HEATER CONTROL - REPLACE/ADJUST",0.40
17,2,LLV,A-POST R/L SIDE - REPLACE,1.00
18,2,LLV,"A-POST R/L SIDE, SEAL - REPLACE",0.30
19,2,LLV,"ARM, WINDSHIELD WIPER - REPLACE",0.20
20,2,LLV,BATTERY TRAY,0.50
21,2,LLV,"BODY MOUNT AND/OR BOLT, REPLACE - ONE",0.20
22,2,LLV,B-POST L/R - REPLACE,2.00
23,2,LLV,BULKHEAD DOOR LATCH ASSY - REPLACE,0.30
24,2,LLV,BULKHEAD DOOR ROLLER ASSY - REPLACE,1.00
25,2,LLV,BULKHEAD DOOR STRIKER ASSY - REPLACE,0.20
26,2,LLV,BULKHEAD DOOR TRACK - REPLACE,0.90
27,2,LLV,BUMPER F/R - REPLACE,1.00
28,2,LLV,BUMPER F/R- L/S BRACKET EACH,1.20
29,2,LLV,"BUMPER, BULKHEAD DOOR - REPLACE",0.40
30,2,LLV,"CABLE, HOOD RELEASE - REPLACE",0.30
31,2,LLV,CASTING DOOR TRACK - REPLACE,0.30
32,2,LLV,"CATCH, HOOD SAFETY - REPLACE",0.20
33,2,LLV,CORNER CASTING - REPLACE,1.00
34,2,LLV,COUNTERBALANCE ASSY - REPLACE,0.40
35,2,LLV,COUNTERBALANCE CABLE - REPLACE,0.20
36,2,LLV,"DOOR, BULKHEAD - REPLACE",1.40
37,2,LLV,FENDER LINER R/L- REPLACE,0.30
38,2,LLV,FLOOR MAT - REPLACE,1.00
39,2,LLV,FLOOR MAT PARTIAL - REPLACE,0.40
40,2,LLV,FUEL FILL DOOR ASSY- REPLACE,0.20
41,2,LLV,GUARD REAR CONNER - REPLACE,1.00
42,2,LLV,GUSSET 2 REQUIRED,0.50
43,2,LLV,HEADLIGHT BEZEL - REPLACE,0.20
44,2,LLV,"HINGE, HOOD - REPLACE",0.40
45,2,LLV,HOOD ASSY - REPLACE,0.30
46,2,LLV,KICK GUARD - REPLACE,0.20
47,2,LLV,"LATCH, HOOD - REPLACE",0.30
48,2,LLV,"LINKAGE, WINDSHIELD WIPER - REPLACE",0.60
49,2,LLV,LOCK ASSY - SIDE OR REAR OR BULKHEAD - REPLACE EAC,0.30
50,2,LLV,LOCK SET,1.50
51,2,LLV,MAIL TRAY ASSY COMPLETE - REPLACE,1.00
52,2,LLV,MAIL TRAY HANDLE - REPLACE,0.30
53,2,LLV,MAIL TRAY PEDESTAL . PAN - REPLACE,0.20
54,2,LLV,MAIL TRAY SLIDE - REPLACE,0.30
55,2,LLV,MAIL TRAY SPIDER LEG ASSY - REPLACE,0.50
56,2,LLV,MAIL TRAY TOP - REPLACE,0.30
57,2,LLV,MIRROR - REPLACE EACH,0.20
58,2,LLV,MIRROR BRACKET - REPLACE EACH,0.20
59,2,LLV,"MOTOR, WINDSHIELD WIPER - REPLACE",1.40
60,2,LLV,MUD FLAP - REPLACE EACH,0.20
61,2,LLV,PAINT - GRILL,0.60
62,2,LLV,PAINT DOOR L/R FIRST STAGE,1.50
63,2,LLV,PAINT FLOOR CARGO AREA-COMP STRIP/REPAINT,2.00
64,2,LLV,PAINT FLOOR CARGO AREA-SPOT REPAIR STRIP/REPAIR,0.50
65,2,LLV,PAINT FRONT CORNER-COLOR COAT,0.50
66,2,LLV,PAINT FRONT CORNER-REFINISH,0.50
67,2,LLV,PAINT FRONT DOOR BELOW STRIPE-COLOR COAT,0.80
68,2,LLV,PAINT FRONT DOOR BELOW STRIPE-REFINISH,1.10
69,2,LLV,PAINT FRONT DOOR BELOW STRIPE-SPOT/PARTIAL,0.50
70,2,LLV,PAINT FRONT DOOR COMPLETE-COLOR COAT,1.10
71,2,LLV,PAINT FRONT DOOR COMPLETE-REFINISH,1.30
72,2,LLV,PAINT FRONT DOOR COMPLETE-SPOT/PARTIAL,0.50
73,2,LLV,PAINT FRONT DOOR WINDOW FRAME-COAT,0.90
74,2,LLV,PAINT FRONT DOOR WINDOW FRAME-COLOR COAT,0.80
75,2,LLV,PAINT FRONT DOOR WINDOW FRAME-SPOT/PARTIAL,0.50
76,2,LLV,PAINT FRONT END PANEL-COLOR COAT,0.80
77,2,LLV,PAINT FRONT END PANEL-REFINISH,1.00
78,2,LLV,PAINT FRONT END PANEL-SPOT/PARTIAL,0.50
79,2,LLV,PAINT FRONT FENDER-COLOR COAT,1.00
80,2,LLV,PAINT FRONT FENDER-REFINISH,1.20
81,2,LLV,PAINT FRONT FENDER-SPOT/PARTIAL,0.50
82,2,LLV,PAINT FRONT QUARTER GLASS-COLOR COAT,0.70
83,2,LLV,PAINT FRONT QUARTER GLASS-REFINISH,0.90
84,2,LLV,PAINT FRONT QUARTER GLASS-SPOT/PARTIAL,0.50
85,2,LLV,PAINT FUEL FILLER DOOR-COLOR COAT,0.30
86,2,LLV,PAINT FUEL FILLER DOOR-REFINISH,0.40
87,2,LLV,PAINT HOOD-COLOR COAT,0.90
88,2,LLV,PAINT HOOD-REFINISH,1.20
89,2,LLV,PAINT HOOD-SPOT/PARTIAL,0.50
90,2,LLV,PAINT REAR QUARTER BELOW STRIPE-COLOR COAT,1.20
91,2,LLV,PAINT REAR QUARTER BELOW STRIPE-REFINISH,1.40
92,2,LLV,PAINT REAR QUARTER BELOW STRIPE-SPOT/PARTIAL,0.50
93,2,LLV,PAINT REAR QUARTER ROOF TO STRIPE-COLOR COAT,1.30
94,2,LLV,PAINT REAR QUARTER ROOF TO STRIPE-REFINISH,1.60
95,2,LLV,PAINT REAR QUARTER ROOF TO STRIPE-SPOT/PARTIAL,0.50
96,2,LLV,PAINT REAR DOOR ABOVE STRIPE-COLOR COAT,1.00
97,2,LLV,PAINT REAR DOOR ABOVE STRIPE-REFINISH,1.30
98,2,LLV,PAINT REAR DOOR ABOVE STRIPE-SPOT/REPAIR,0.50
99,2,LLV,PAINT REAR DOOR BELOW STRIPE-COLOR COAT,0.80
100,2,LLV,PAINT REAR DOOR BELOW STRIPE-REFINISH,0.90
101,2,LLV,PAINT REAR DOOR BELOW STRIPE-SPOT/REPAIR,0.50
102,2,LLV,PAINT REAR DOOR COMPLETE-COLOR COAT,1.10
103,2,LLV,PAINT REAR DOOR COMPLETE-REFINISH,1.40
104,2,LLV,PAINT REAR DOOR COMPLETE-SPOT/REPAIR,0.50
105,2,LLV,PAINT REAR PANEL BELOW DOOR-COLOR COAT,0.60
106,2,LLV,PAINT REAR PANEL BELOW DOOR-REFINISH,0.70
107,2,LLV,PAINT ROOF CENTER-COLOR COAT,2.90
108,2,LLV,PAINT ROOF CENTER-REFINISH,3.70
109,2,LLV,PAINT ROOF CENTER-SPOT/PARTIAL,0.50
110,2,LLV,PAINT ROOF FRONT-COLOR COAT,0.70
111,2,LLV,PAINT ROOF FRONT-REFINISH,0.80
112,2,LLV,PAINT ROOF FRONT-SPOT/PARTIAL,0.50
113,2,LLV,PAINT ROOF REAR-COLOR COAT,0.70
114,2,LLV,PAINT ROOF REAR-REFINISH,0.80
115,2,LLV,PAINT ROOF REAR-SPOT/PARTIAL,0.50
116,2,LLV,PAINT UPPER COWL AND/OR GRILL - COLOR COAT,0.70
117,2,LLV,PAINT UPPER COWL AND/OR GRILL - REFINISH,0.80
118,2,LLV,PAINT UPPER COWL AND/OR GRILL - SPOT/PARTIAL,0.50
119,2,LLV,PAINT VEHICLE,24.00
120,2,LLV,PAINT VENT REAR QTR-COLOR COAT,0.40
121,2,LLV,PAINT VENT REAR QTR-REFINISH,0.40
122,2,LLV,PANEL FRONT STEP R/L - REPLACE,1.00
123,2,LLV,"PANEL, FRONT W/ GRILL INSERT & HEADLAMPS - REPLACE",0.70
124,2,LLV,"PANEL, SIDE BODY - REPLACE",8.70
125,2,LLV,"PIVOT, LEFT WINDSHIELD WIPER - REPLACE",2.20
126,2,LLV,"PIVOT, RIGHT WINDSHIELD WIPER - REPLACE",0.90
127,2,LLV,PUMP WINDSHIELD WASHER - REPLACE,0.20
128,2,LLV,REAR DOOR ASSY - REPLACE,1.00
129,2,LLV,REAR DOOR LATCH - REPLACE,0.40
130,2,LLV,REAR DOOR LATCH CONTROL - REPLACE,0.70
131,2,LLV,REAR DOOR LATCH STRIKER - REPLACE,0.30
132,2,LLV,REAR DOOR LOCK CABLE - REPLACE,0.30
133,2,LLV,REAR DOOR LOCK PANEL COVER - REPLACE,0.50
134,2,LLV,REAR DOOR ROLLERS - REPLACE - ALL,0.80
135,2,LLV,REAR DOOR TRACK - REPLACE - ONE,1.60
136,2,LLV,REAR DOOR WEATHER-STRIP/SEALS - REPLACE - ONE,0.20
137,2,LLV,"ROD, HOOD PROP - REPLACE",0.20
138,2,LLV,ROOF ASSY - REPLACE,12.50
139,2,LLV,ROOF SEAMS - REPAIR,0.30
140,2,LLV,SEAT - REPLACE,0.30
141,2,LLV,SEAT ADJUSTOR SLIDE - REPLACE,0.30
142,2,LLV,SEAT BELT ASSY - LAP BELT - REPLACE,0.30
143,2,LLV,SEAT BELT ASSY - SHOULDER BELT - REPLACE,0.40
144,2,LLV,SEAT COVER - REPLACE,0.50
145,2,LLV,SHIFTER INDICATOR / PRNDL- REPLACE,0.60
146,2,LLV,SIDE DOOR ASSY - REPLACE,0.30
147,2,LLV,SIDE DOOR GLASS - REPLACE,0.80
148,2,LLV,SIDE DOOR GLASS WEATHER STRIP - REPLACE,0.70
149,2,LLV,SIDE DOOR LATCH ASSY - REPLACE,0.30
150,2,LLV,SIDE DOOR ROLLER ASSY - REPLACE,0.60
151,2,LLV,SIDE DOOR ROLLER TRACK - REPLACE,0.90
152,2,LLV,SIDE DOOR STRIKER - REPLACE - ONE,0.20
153,2,LLV,SIDE DOOR WEATHER-STRIP/SEALS - REPLACE - ONE,0.20
154,2,LLV,SIDE DOOR WINDOW CRANK HANDLE - REPLACE,0.20
155,2,LLV,SIDE DOOR WINDOW REGULATOR - REPLACE,1.00
156,2,LLV,SILL OR STEP WELL PLATE / COVER KIT - INSTALL,0.30
157,2,LLV,SILL STEP OR STEP WELL - REPLACE,1.00
158,2,LLV,SKIRT PANEL FRONT - REPLACE,0.30
159,2,LLV,SPLASH GUARDS,0.20
160,2,LLV,STIFFENER FORWARD WHEEL BOX R/L,0.50
161,2,LLV,STRIPE AND/OR DECAL - REPLACE,0.30
162,2,LLV,"SUPPORT, RADIATOR - REPLACE",0.80
163,2,LLV,VENT PANEL SIDE - REPLACE,0.40
164,2,LLV,"VISOR, SUN - REPLACE",0.20
165,2,LLV,WHEEL BOX - REPLACE,3.90
166,2,LLV,WINDSHIELD GLASS CORNER STAMPING - REPLACE,2.00
167,2,LLV,WINDSHIELD GLASS FRONT - REPLACE,1.60
168,2,LLV,WINDSHIELD GLASS FRONT - RESEAL,0.60
169,2,LLV,WINDSHIELD SIDE GLASS - REPLACE,0.30
170,2,LLV,WINDSHIELD SIDE GLASS - RESEAL,0.30
171,2,LLV,WINDSHIELD WASHER HOSE/CLIPS/SOLVENT - REPLACE,0.80
172,2,LLV,WINDSHIELD WASHER RESERVOIR / TANK - REPLACE,0.20
173,2,LLV,WIPER BLADE - REPLACE,0.20
174,3,LLV,"BOARD, PRINTED CIRCUIT - REPLACE",0.60
